Dance Code,Dance Name,Related Dances,Component Dances,Division,Single/Multi,Age,Qualification,Skill,Skill 2,Division,Single/Multi Key,Role
W_SM,Smooth Waltz,,,Smooth,Single,JR,PRO,Newcomer,--,Club,Single,LEAD
T_SM,Smooth Tango,,,Smooth,Single,A,PRO_DEV,Intermediate,Bronze,Smooth,Multi,FOL
F_SM,Smooth Foxtrot,,,Smooth,Single,B,AM,Full,Silver,Standard,,
VW_SM,Smooth Viennese,,,Smooth,Single,SR,,Open,Gold,Rhythm,,
W_ST,Standard Waltz,,,Standard,Single,ASK,,Multi 3,,Latin,,
T_ST,Standard Tango,,,Standard,Single,,,Multi 4,,,,
F_ST,Standard Foxtrot,,,Standard,Single,,,Multi 5,,,,
VW_ST,Standard Viennese,,,Standard,Single,,,Open 5,,,,
QS,Quickstep,,,Standard,Single,,,Blank,,,,
CC_R,Rhythm Cha-Cha,,,Rhythm,Single,,,Solo,,,,
R_R,Rhythm Rumba,,,Rhythm,Single,,,,,,,
ECS,East Coast Swing,,,Rhythm,Single,,,,,,,
BOL,Bolero,,,Rhythm,Single,,,,,,,
MAM,Mambo,,,Rhythm,Single,,,,,,,
MER,Merengue,,,Club,Single,,,,,,,
SAM,Samba,,,Club,Single,,,,,,,
WCS,West Coast Swing,,,Rhythm,Single,,,,,,,
HU,Hustle,,,Club,Single,,,,,,,
SAL,Salsa,,,Club,Single,,,,,,,
AT,Argentine Tango,,,Rhythm,Single,,,,,,,
CC_L,Latin Cha-Cha,,,Latin,Single,,,,,,,
R_L,Latin Rumba,,,Latin,Single,,,,,,,
S,Lantin Samba,,,Latin,Single,,,,,,,
PD,Paso Doble,,,Latin,Single,,,,,,,
J,Jive,,,Latin,Single,,,,,,,
WTF,Smooth Multi,,W_SM|T_SM|F_SM,Smooth,Multi,,,,,,,
WTFVW,Smooth Multi 2,,W_SM|T_SM|F_SM|VW_SM,Smooth,Multi,,,,,,,
WFQS,Standard Multi,,W_ST|F_ST|QS,Standard,Multi,,,,,,,
WTVWFQS,Standard Multi 2,,W_ST|T_ST|VW_ST|F_ST|QS,Standard,Multi,,,,,,,
CCRSW,Rhythm Multi,,CC_R|R_R|ECS,Rhythm,Multi,,,,,,,
CCRSWBM,Rhythm Multi 2,,CC_R|R_R|ECS|BOL|MAM,Rhythm,Multi,,,,,,,
CCRSA,Latin Multi,,CC_L|R_L|S,Latin,Multi,,,,,,,
CCRSAPDJ,Latin Multi 2,,CC_L|R_L|S|PD|J,Latin,Multi,,,,,,,